Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Global_Sales_Iva
ATV Offroad Fury 3,PS2,2004.0,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,0.144
Pikmin 2,GC,2004.0,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,0.144
Just Dance 2016,Wii,2015.0,Misc,Ubisoft,0.52,0.59,0.0,0.1,1.2,0.144
Disney Sing It,Wii,2008.0,Misc,Disney Interactive Studios,0.77,0.31,0.0,0.12,1.2,0.144
Battlefield: Hardline,XOne,2015.0,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2,0.144
WWE 2K16,PS4,2015.0,Sports,Take-Two Interactive,0.41,0.6,0.0,0.19,1.2,0.144
Dragon Ball Z: La Legende Saien,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0,1.2,0.144
TwinBee,NES,1986.0,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,0.144
Ganbare Goemon! Karakuri Douchuu,NES,1986.0,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,0.144
NFL 2K,DC,1999.0,Sports,Sega,1.12,0.05,0.0,0.02,1.2,0.144
SolarStriker,GB,1989.0,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2,0.144
Enter the Matrix,XB,2003.0,Action,Atari,0.72,0.43,0.01,0.04,1.2,0.144
NHL 2002,PS2,2001.0,Sports,Electronic Arts,0.59,0.46,0.0,0.15,1.2,0.144
Mario vs. Donkey Kong 2: March of the Minis,DS,2006.0,Puzzle,Nintendo,0.74,0.03,0.36,0.07,1.2,0.144
PokéPark Wii: Pikachu's Adventure,Wii,2009.0,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2,0.144
One Piece: Pirate Warriors,PS3,2012.0,Action,Namco Bandai Games,0.01,0.24,0.86,0.09,1.2,0.144
WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.49,0.0,0.21,1.19,0.14279999999999998
Metal Gear Solid: Portable Ops,PSP,2006.0,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.09,1.19,0.14279999999999998
Nuclear Strike,PS,1997.0,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19,0.14279999999999998
Captain Toad: Treasure Tracker,WiiU,2014.0,Puzzle,Nintendo,0.56,0.36,0.19,0.09,1.19,0.14279999999999998
WWE SmackDown vs Raw 2008,PSP,2007.0,Fighting,THQ,0.45,0.47,0.0,0.28,1.19,0.14279999999999998
The Simpsons: Road Rage,GBA,2003.0,Racing,THQ,0.86,0.32,0.0,0.02,1.19,0.14279999999999998
Pro Evolution Soccer 2008,Wii,2008.0,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,0.14279999999999998
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002.0,Platform,THQ,0.92,0.23,0.0,0.04,1.19,0.14279999999999998
Mario & Sonic at the London 2012 Olympic Games,3DS,2012.0,Sports,Sega,0.18,0.64,0.27,0.1,1.19,0.14279999999999998
Scarface: The World is Yours,PS2,2006.0,Action,Vivendi Games,0.99,0.04,0.0,0.16,1.19,0.14279999999999998
Kobe Bryant in NBA Courtside,N64,1998.0,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19,0.14279999999999998
Disney's Chip 'n Dale: Rescue Rangers,NES,1990.0,Platform,Capcom,0.68,0.14,0.35,0.02,1.19,0.14279999999999998
The Dukes of Hazzard: Racing for Home,PS,1999.0,Racing,Ubisoft,0.99,0.16,0.0,0.04,1.19,0.14279999999999998
Hitman 2: Silent Assassin,XB,,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19,0.14279999999999998
FIFA 14,XOne,2013.0,Sports,Electronic Arts,0.41,0.66,0.0,0.12,1.19,0.14279999999999998
Spider-Man: The Movie,GC,2002.0,Action,Activision,0.86,0.27,0.01,0.04,1.19,0.14279999999999998
Final Fantasy I & II: Dawn of Souls,GBA,2004.0,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,0.14279999999999998
NBA 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.83,0.14,0.0,0.22,1.19,0.14279999999999998
Pokemon Super Mystery Dungeon,3DS,2015.0,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19,0.14279999999999998
Just Dance 4,X360,2012.0,Misc,Ubisoft,0.9,0.2,0.0,0.08,1.19,0.14279999999999998
Metal Gear Solid VR Missions,PS,1999.0,Adventure,Konami Digital Entertainment,0.66,0.45,0.0,0.08,1.18,0.14159999999999998
Pole Position,2600,1982.0,Racing,Atari,1.1,0.07,0.0,0.01,1.18,0.14159999999999998
Resident Evil: Operation Raccoon City,PS3,2012.0,Action,Capcom,0.48,0.25,0.36,0.1,1.18,0.14159999999999998
LEGO Indiana Jones: The Original Adventures,PSP,2008.0,Action,LucasArts,0.4,0.49,0.0,0.29,1.18,0.14159999999999998
Pro Yakyuu Family Stadium '88,NES,1988.0,Sports,Namco Bandai Games,0.1,0.0,1.08,0.0,1.18,0.14159999999999998
Shenmue,DC,1999.0,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,0.14159999999999998
Mario Tennis,GB,2000.0,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18,0.14159999999999998
Tony Hawk's Pro Skater 2,GBA,2001.0,Sports,Activision,0.85,0.31,0.0,0.02,1.18,0.14159999999999998
WWE '12,PS3,2011.0,Fighting,THQ,0.53,0.46,0.02,0.17,1.18,0.14159999999999998
WWE SmackDown vs. Raw 2010,PS3,2009.0,Fighting,THQ,0.48,0.49,0.01,0.2,1.18,0.14159999999999998
Plants vs. Zombies,DS,2011.0,Strategy,Mastertronic,0.95,0.15,0.0,0.08,1.18,0.14159999999999998
Sonic the Hedgehog,PS3,2006.0,Platform,Sega,0.41,0.07,0.04,0.66,1.18,0.14159999999999998
Super Ghouls 'n Ghosts,SNES,1991.0,Platform,Capcom,0.5,0.14,0.52,0.02,1.18,0.14159999999999998
Spore,PC,2008.0,Strategy,Electronic Arts,0.03,1.06,0.0,0.09,1.17,0.1404
Soviet Strike,PS,1996.0,Simulation,Electronic Arts,0.65,0.44,0.0,0.08,1.17,0.1404
Your Shape: Fitness Evolved 2012,X360,2011.0,Sports,Ubisoft,0.7,0.37,0.0,0.1,1.17,0.1404
Army of Two,PS3,2008.0,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,0.1404
Gun,PS2,2005.0,Shooter,Activision,0.98,0.04,0.0,0.16,1.17,0.1404
Ty the Tasmanian Tiger,PS2,2002.0,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17,0.1404
Wario Land: Shake It!,Wii,2008.0,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17,0.1404
Sonic Rush Adventure,DS,2007.0,Platform,Sega,0.54,0.49,0.01,0.12,1.17,0.1404
Medal of Honor: Warfighter,X360,2012.0,Action,Electronic Arts,0.58,0.47,0.01,0.1,1.17,0.1404
Mega Man 3,NES,1990.0,Platform,Capcom,0.68,0.1,0.39,0.0,1.17,0.1404
Ratchet & Clank (2016),PS4,2016.0,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17,0.1404
Mission: Impossible,N64,1997.0,Action,Ocean,0.74,0.38,0.02,0.03,1.17,0.1404
Romancing SaGa 2,SNES,1993.0,Role-Playing,SquareSoft,0.0,0.0,1.17,0.0,1.17,0.1404
Cabela's Dangerous Hunts,PS2,2003.0,Sports,Zoo Digital Publishing,0.57,0.45,0.0,0.15,1.17,0.1404
Cool Boarders 4,PS,1998.0,Sports,989 Studios,0.65,0.44,0.0,0.08,1.17,0.1404
Rage Racer,PS,1996.0,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17,0.1404
Medal of Honor: Rising Sun,XB,2003.0,Shooter,Electronic Arts,0.76,0.36,0.0,0.05,1.17,0.1404
Football Manager 2013,PC,2012.0,Sports,Sega,0.0,0.95,0.0,0.22,1.17,0.1404
Destruction Derby 2,PS,1996.0,Racing,Psygnosis,0.65,0.44,0.0,0.08,1.17,0.1404
Mirror's Edge,X360,2008.0,Platform,Electronic Arts,0.51,0.51,0.01,0.13,1.17,0.1404
Destiny: The Taken King,XOne,2015.0,Shooter,Activision,0.82,0.23,0.0,0.11,1.17,0.1404
Mario vs. Donkey Kong,GBA,2004.0,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17,0.1404
007: Quantum of Solace,PS3,2008.0,Action,Activision,0.43,0.52,0.02,0.2,1.16,0.1392
EA Sports Active: More Workouts,Wii,2009.0,Sports,Electronic Arts,0.78,0.28,0.0,0.1,1.16,0.1392
Fallout: New Vegas,PC,2010.0,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16,0.1392
Need for Speed: Most Wanted,PSV,2012.0,Racing,Electronic Arts,0.38,0.52,0.01,0.25,1.16,0.1392
Final Fantasy Tactics: The War of the Lions,PSP,2007.0,Role-Playing,Square Enix,0.45,0.25,0.3,0.16,1.16,0.1392
Midnight Club 3: DUB Edition Remix,PS2,2006.0,Racing,Take-Two Interactive,0.97,0.04,0.0,0.16,1.16,0.1392
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004.0,Shooter,Ubisoft,0.57,0.44,0.0,0.15,1.16,0.1392
SingStar,PS3,2007.0,Misc,Sony Computer Entertainment,0.45,0.58,0.0,0.13,1.16,0.1392
Bushido Blade,PS,1997.0,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,0.1392
LEGO Star Wars III: The Clone Wars,DS,2011.0,Action,LucasArts,0.66,0.39,0.0,0.11,1.16,0.1392
NASCAR Thunder 2002,PS2,2001.0,Racing,Electronic Arts,0.57,0.44,0.0,0.15,1.16,0.1392
Jet Force Gemini,N64,1999.0,Shooter,Nintendo,0.78,0.28,0.07,0.02,1.16,0.1392
Mega Man X,SNES,1993.0,Platform,Capcom,0.57,0.08,0.5,0.01,1.16,0.1392
Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002.0,Role-Playing,Konami Digital Entertainment,0.84,0.27,0.0,0.05,1.16,0.1392
Sega Rally Championship,SAT,1995.0,Racing,Sega,0.21,0.16,0.77,0.02,1.16,0.1392
Test Drive: Off Road,PS,1997.0,Racing,Eidos Interactive,0.65,0.44,0.0,0.08,1.16,0.1392
Medal of Honor Heroes 2,PSP,2007.0,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.16,0.1392
Sniper: Ghost Warrior,X360,2010.0,Shooter,City Interactive,0.54,0.51,0.0,0.12,1.16,0.1392
Rocksmith,PS3,2011.0,Misc,Ubisoft,0.52,0.38,0.09,0.17,1.16,0.1392
LEGO Star Wars: The Video Game,XB,2005.0,Action,Eidos Interactive,0.83,0.28,0.0,0.05,1.16,0.1392
FIFA Soccer 10,PSP,2009.0,Sports,Electronic Arts,0.15,0.68,0.01,0.32,1.16,0.1392
Plants vs. Zombies: Garden Warfare,X360,2014.0,Shooter,Electronic Arts,0.51,0.54,0.0,0.1,1.16,0.1392
Worldwide Soccer Manager 2009,PC,2008.0,Simulation,Sega,0.0,1.14,0.0,0.01,1.15,0.13799999999999998
Omerta: City of Gangsters,PS3,2011.0,Simulation,Konami Digital Entertainment,0.52,0.46,0.0,0.17,1.15,0.13799999999999998
Gauntlet: Dark Legacy,PS2,2001.0,Action,Midway Games,0.56,0.44,0.0,0.15,1.15,0.13799999999999998
Ninja Gaiden Sigma,PS3,2007.0,Action,Eidos Interactive,0.57,0.33,0.09,0.16,1.15,0.13799999999999998
Bad Boys: Miami Takedown,PS2,2004.0,Shooter,Empire Interactive,0.56,0.44,0.0,0.15,1.15,0.13799999999999998
Kaboom!,2600,1980.0,Misc,Activision,1.07,0.07,0.0,0.01,1.15,0.13799999999999998
Red Dead Redemption: Undead Nightmare,PS3,2010.0,Action,Take-Two Interactive,0.44,0.46,0.06,0.18,1.15,0.13799999999999998
Sonic and the Black Knight,Wii,2009.0,Platform,Sega,0.69,0.35,0.01,0.11,1.15,0.13799999999999998
Call of Duty 4: Modern Warfare,PC,2007.0,Shooter,Activision,0.0,1.12,0.0,0.03,1.15,0.13799999999999998
Qix,GB,1990.0,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15,0.13799999999999998
Derby Stallion III,SNES,1995.0,Sports,ASCII Entertainment,0.0,0.0,1.15,0.0,1.15,0.13799999999999998
Doraemon,NES,1986.0,Action,Hudson Soft,0.0,0.0,1.15,0.0,1.15,0.13799999999999998
High School Musical 2: Work This Out!,DS,2008.0,Misc,Disney Interactive Studios,0.5,0.52,0.0,0.13,1.15,0.13799999999999998
Ratchet & Clank: All 4 One,PS3,2011.0,Platform,Sony Computer Entertainment,0.75,0.22,0.05,0.12,1.15,0.13799999999999998
Donkey Konga,GC,2003.0,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15,0.13799999999999998
Fight Night Champion,PS3,2011.0,Fighting,Electronic Arts,0.45,0.51,0.0,0.19,1.15,0.13799999999999998
Dragon Quest I & II,SNES,1993.0,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0,1.15,0.13799999999999998
Tak and the Power of Juju,PS2,2003.0,Platform,THQ,0.56,0.44,0.0,0.15,1.15,0.13799999999999998
Asteroids,PS,1998.0,Shooter,Success,0.64,0.43,0.0,0.07,1.15,0.13799999999999998
Puyo Puyo Sun Ketteiban,PS,1997.0,Puzzle,Compile,0.0,0.0,1.07,0.07,1.15,0.13799999999999998
Pokemon Rumble Blast,3DS,2011.0,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,0.13679999999999998
Action Bass,PS,2000.0,Action,Take-Two Interactive,0.64,0.43,0.0,0.07,1.14,0.13679999999999998
Tenchu: Wrath of Heaven,PS2,2003.0,Action,Activision,0.44,0.34,0.25,0.11,1.14,0.13679999999999998
Shadow of the Colossus,PS2,2005.0,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,0.13679999999999998
Brave Fencer Musashi,PS,1998.0,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,0.13679999999999998
Hot Shots Golf: Out of Bounds,PS3,2007.0,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14,0.13679999999999998
Dance Dance Revolution Extreme 2,PS2,2005.0,Simulation,Konami Digital Entertainment,0.95,0.04,0.0,0.16,1.14,0.13679999999999998
Mirror's Edge,PS3,2008.0,Platform,Electronic Arts,0.31,0.59,0.02,0.22,1.14,0.13679999999999998
Rabbids Go Home,Wii,2009.0,Platform,Ubisoft,0.26,0.75,0.0,0.14,1.14,0.13679999999999998
South Park,N64,1998.0,Shooter,Acclaim Entertainment,0.9,0.23,0.0,0.02,1.14,0.13679999999999998
Commando,NES,1986.0,Action,Capcom,0.71,0.16,0.25,0.03,1.14,0.13679999999999998
Pilotwings,SNES,1990.0,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14,0.13679999999999998
Resident Evil - Code: Veronica,DC,2000.0,Action,Eidos Interactive,0.41,0.23,0.47,0.03,1.14,0.13679999999999998
Super R.C. Pro-Am,GB,1991.0,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14,0.13679999999999998
The Lord of the Rings: The Return of the King,XB,2003.0,Action,Electronic Arts,0.71,0.38,0.0,0.05,1.14,0.13679999999999998
LEGO Star Wars: The Video Game,GBA,2005.0,Action,Eidos Interactive,0.82,0.3,0.0,0.02,1.14,0.13679999999999998
Royal Palace of White Sword and The City of Gentiles,PS2,2005.0,Role-Playing,Take-Two Interactive,0.0,0.51,0.0,0.62,1.14,0.13679999999999998
Guitar Hero 5,X360,2009.0,Misc,Activision,0.65,0.37,0.0,0.11,1.14,0.13679999999999998
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001.0,Simulation,Atari,0.12,0.1,0.88,0.03,1.14,0.13679999999999998
Need for Speed Underground 2,GC,2004.0,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14,0.13679999999999998
MechAssault,XB,2002.0,Simulation,Microsoft Game Studios,1.01,0.1,0.0,0.03,1.13,0.13559999999999997
ModNation Racers,PS3,2010.0,Racing,Sony Computer Entertainment,0.5,0.41,0.06,0.16,1.13,0.13559999999999997
LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action,LucasArts,0.61,0.43,0.0,0.09,1.13,0.13559999999999997
Derby Stallion 99,PS,1999.0,Sports,ASCII Entertainment,0.0,0.0,1.06,0.07,1.13,0.13559999999999997
Cars,GBA,2006.0,Racing,THQ,0.81,0.3,0.0,0.02,1.13,0.13559999999999997
Fantasy Life,3DS,2012.0,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,0.13559999999999997
Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004.0,Shooter,Ubisoft,0.99,0.12,0.0,0.02,1.13,0.13559999999999997
WWE 2K15,PS4,2014.0,Sports,Take-Two Interactive,0.38,0.56,0.0,0.19,1.13,0.13559999999999997
Donkey Kong,NES,1983.0,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13,0.13559999999999997
Jampack Winter '98,PS,1998.0,Misc,Sony Computer Entertainment,0.63,0.43,0.0,0.07,1.13,0.13559999999999997
WWE 2K14,X360,2013.0,Sports,Take-Two Interactive,0.64,0.39,0.0,0.1,1.13,0.13559999999999997
Alien: Isolation,PS4,2014.0,Shooter,Sega,0.34,0.56,0.04,0.19,1.13,0.13559999999999997
Yakuza 3,PS3,2009.0,Action,Sega,0.21,0.21,0.62,0.08,1.13,0.13559999999999997
Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005.0,Role-Playing,Nintendo,0.81,0.3,0.0,0.02,1.13,0.13559999999999997
The Beatles: Rock Band,PS3,2009.0,Misc,MTV Games,0.67,0.3,0.0,0.15,1.13,0.13559999999999997
Dragon Age II,X360,2011.0,Action,Electronic Arts,0.72,0.3,0.01,0.09,1.12,0.13440000000000002
Moon Patrol,2600,1982.0,Shooter,Atari,1.05,0.06,0.0,0.01,1.12,0.13440000000000002
Supercar Street Challenge,PS2,2001.0,Racing,Activision,0.55,0.43,0.0,0.14,1.12,0.13440000000000002
Pilotwings 64,N64,1996.0,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12,0.13440000000000002
Crackdown 2,X360,2010.0,Shooter,Microsoft Game Studios,0.63,0.37,0.02,0.1,1.12,0.13440000000000002
Final Fantasy XIV: A Realm Reborn,PS3,2013.0,Role-Playing,Square Enix,0.36,0.33,0.28,0.15,1.12,0.13440000000000002
Castlevania: Lords of Shadow,PS3,2010.0,Action,Konami Digital Entertainment,0.5,0.37,0.1,0.16,1.12,0.13440000000000002
Rocksmith,X360,2011.0,Misc,Ubisoft,0.84,0.2,0.01,0.08,1.12,0.13440000000000002
Disney Infinity 2.0: Marvel Super Heroes,X360,2014.0,Action,Disney Interactive Studios,0.62,0.4,0.0,0.1,1.12,0.13440000000000002
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005.0,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,0.08,1.12,0.13440000000000002
Call Of Duty 2: Big Red One,XB,2005.0,Shooter,Activision,0.66,0.4,0.0,0.05,1.12,0.13440000000000002
Yoshi's Cookie,NES,1992.0,Puzzle,Nintendo,0.41,0.06,0.63,0.02,1.12,0.13440000000000002
Guitar Hero 5,PS2,2009.0,Misc,Activision,0.28,0.3,0.0,0.54,1.12,0.13440000000000002
Worldwide Soccer Manager 2008,PC,2007.0,Sports,Russel,0.0,1.12,0.0,0.0,1.12,0.13440000000000002
Spider-Man 2,XB,2004.0,Action,Activision,0.82,0.26,0.0,0.04,1.12,0.13440000000000002
Counter-Strike,XB,2003.0,Shooter,Microsoft Game Studios,0.85,0.23,0.0,0.04,1.11,0.1332
Mad Max (2015),PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11,0.1332
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007.0,Action,Activision,0.63,0.37,0.0,0.11,1.11,0.1332
GRID,PS3,2008.0,Racing,Codemasters,0.31,0.57,0.03,0.2,1.11,0.1332
Guitar Hero Encore: Rocks The 80s,PS2,2007.0,Misc,RedOctane,0.92,0.04,0.0,0.15,1.11,0.1332
Sunset Overdrive,XOne,2014.0,Shooter,Microsoft Game Studios,0.62,0.4,0.0,0.08,1.11,0.1332
Rock Band,PS2,,Misc,Electronic Arts,0.71,0.06,0.0,0.35,1.11,0.1332
Tom Clancy's Splinter Cell: Chaos Theory,XB,2005.0,Action,Ubisoft,0.68,0.38,0.0,0.05,1.11,0.1332
Donkey Kong Jr.,NES,1983.0,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11,0.1332
Arc the Lad,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,1.1,0.01,1.11,0.1332
NBA Jam Tournament Edition,GEN,1994.0,Sports,Acclaim Entertainment,0.95,0.14,0.0,0.03,1.11,0.1332
Need for Speed: ProStreet,Wii,2007.0,Racing,Electronic Arts,0.54,0.46,0.0,0.12,1.11,0.1332
Pikmin 3,WiiU,2013.0,Strategy,Nintendo,0.45,0.31,0.29,0.06,1.11,0.1332
Legend of Mana,PS,1999.0,Role-Playing,SquareSoft,0.18,0.13,0.73,0.07,1.11,0.1332
Lumines: Puzzle Fusion,PSP,2004.0,Puzzle,Ubisoft,0.52,0.35,0.0,0.23,1.11,0.1332
Toy Story 3: The Video Game,PS3,2010.0,Action,Disney Interactive Studios,0.51,0.42,0.0,0.17,1.11,0.1332
Guitar Hero 5,PS3,2009.0,Misc,Activision,0.53,0.4,0.0,0.17,1.1,0.132
Megamania,2600,1981.0,Shooter,Activision,1.03,0.06,0.0,0.01,1.1,0.132
Medal of Honor: Airborne,X360,2007.0,Shooter,Electronic Arts,0.45,0.53,0.01,0.12,1.1,0.132
The Legend of Zelda: Tri Force Heroes,3DS,2015.0,Action,Nintendo,0.52,0.33,0.17,0.08,1.1,0.132
Jungle Hunt,2600,1982.0,Platform,Atari,1.03,0.06,0.0,0.01,1.1,0.132
Triple Play 98,PS,1997.0,Sports,Electronic Arts,0.61,0.42,0.0,0.07,1.1,0.132
LEGO The Lord of the Rings,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.36,0.53,0.0,0.21,1.1,0.132
Petz Dogz 2,DS,2007.0,Simulation,Ubisoft,0.47,0.52,0.0,0.12,1.1,0.132
WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,THQ,0.44,0.46,0.01,0.18,1.1,0.132
Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,1999.0,Strategy,Konami Digital Entertainment,0.0,0.0,1.1,0.0,1.1,0.132
Lode Runner,NES,1984.0,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1,0.132
The Final Fantasy Legend,GB,1989.0,Role-Playing,SquareSoft,0.0,0.0,1.1,0.0,1.1,0.132
Famicom Jump: Eiyuu Retsuden,NES,1989.0,Role-Playing,Namco Bandai Games,0.0,0.0,1.1,0.0,1.1,0.132
F-Zero X,N64,1998.0,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1,0.132
Popeye,NES,1983.0,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1,0.132
NERF N-Strike,Wii,2008.0,Shooter,Electronic Arts,0.92,0.09,0.0,0.09,1.1,0.132
NBA Live 2001,PS2,2001.0,Sports,Electronic Arts,0.52,0.4,0.04,0.13,1.1,0.132
SingStar Legends,PS2,2006.0,Misc,Sony Computer Entertainment,0.12,0.75,0.0,0.23,1.1,0.132
SingStar Rocks!,PS2,2006.0,Misc,Sony Computer Entertainment,0.0,0.84,0.0,0.25,1.1,0.132
Tales of Symphonia,GC,2003.0,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1,0.132
Untold Legends: Brotherhood of the Blade,PSP,2005.0,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.1,0.132
Star Ocean: The Second Story,PS,1998.0,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1,0.132
Lightning Returns: Final Fantasy XIII,PS3,2013.0,Role-Playing,Square Enix,0.31,0.22,0.45,0.12,1.1,0.132
Star Wars: The Force Unleashed,PSP,2008.0,Action,LucasArts,0.43,0.41,0.0,0.25,1.09,0.1308
Imagine: Babysitters,DS,2008.0,Simulation,Ubisoft,0.63,0.36,0.0,0.1,1.09,0.1308
The Simpsons Game,PSP,2007.0,Action,Electronic Arts,0.24,0.55,0.0,0.31,1.09,0.1308
Yakuza 2,PS2,2006.0,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,0.1308
Skate 2,X360,2009.0,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09,0.1308
Dragon Ball Z: The Legacy of Goku II,GBA,2003.0,Role-Playing,Atari,0.78,0.29,0.0,0.02,1.09,0.1308
Virtua Fighter 5,PS3,2007.0,Fighting,Sega,0.29,0.52,0.08,0.2,1.09,0.1308
NFL 2K1,DC,2000.0,Sports,Sega,1.02,0.05,0.0,0.02,1.09,0.1308
BeatMania,PS,1998.0,Simulation,Konami Digital Entertainment,0.0,0.0,1.07,0.02,1.09,0.1308
Namco Museum Battle Collection,PSP,2005.0,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.09,0.1308
LEGO Star Wars II: The Original Trilogy,DS,2006.0,Action,LucasArts,0.96,0.04,0.0,0.08,1.09,0.1308
Madden NFL 2004,XB,2003.0,Sports,Electronic Arts,1.02,0.02,0.0,0.05,1.09,0.1308
Empire: Total War,PC,2009.0,Strategy,Sega,0.01,0.97,0.0,0.11,1.09,0.1308
The Godfather,PS2,2006.0,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,0.1308
Tiger Woods PGA Tour 10,Wii,2009.0,Sports,Electronic Arts,0.61,0.37,0.0,0.11,1.09,0.1308
Star Wars: Bounty Hunter,PS2,2002.0,Shooter,LucasArts,0.53,0.42,0.0,0.14,1.09,0.1308
Densha De Go!,PS,1997.0,Simulation,Taito,0.0,0.0,1.02,0.07,1.09,0.1308
Dante's Inferno,PS3,2010.0,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.09,0.1308
Sonic & Sega All-Stars Racing,DS,2010.0,Racing,Sega,0.44,0.54,0.0,0.11,1.09,0.1308
Skylanders Giants,PS3,2012.0,Action,Activision,0.35,0.52,0.0,0.22,1.09,0.1308
Endless Ocean,Wii,2007.0,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09,0.1308
NFL Blitz 2000,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.09,0.1308
Sonic Free Riders,X360,2010.0,Racing,Sega,0.74,0.26,0.0,0.09,1.09,0.1308
NASCAR Thunder 2004,PS2,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,0.1296
Prince of Persia,PS3,2008.0,Action,Ubisoft,0.47,0.41,0.03,0.18,1.08,0.1296
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002.0,Platform,THQ,0.53,0.41,0.0,0.14,1.08,0.1296
Grand Theft Auto V,PC,2015.0,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08,0.1296
The Biggest Loser,Wii,2009.0,Sports,THQ,0.87,0.12,0.0,0.09,1.08,0.1296
Fisherman's Bass Club,PS2,2002.0,Sports,Agetec,0.53,0.41,0.0,0.14,1.08,0.1296
MySims Agents,DS,2009.0,Adventure,Electronic Arts,0.55,0.43,0.0,0.11,1.08,0.1296
Resident Evil: The Darkside Chronicles,Wii,2009.0,Action,Capcom,0.48,0.32,0.2,0.09,1.08,0.1296
NCAA Football 13,X360,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.06,1.08,0.1296
